,id,breed,intake_month,color,age_upon_intake_(years),time_in_shelter_days,intake_type_euthanasia_request,intake_type_owner_surrender,intake_type_public_assist,intake_type_stray,intake_weekday_friday,intake_weekday_monday,intake_weekday_saturday,intake_weekday_sunday,intake_weekday_thursday,intake_weekday_tuesday,intake_weekday_wednesday,intake_condition_aged,intake_condition_feral,intake_condition_injured,intake_condition_normal,intake_condition_nursing,intake_condition_other,intake_condition_pregnant,intake_condition_sick,sex_female,sex_male,sex_unknown,reproductive_state_intake_intact,reproductive_state_intake_sterile,reproductive_state_intake_unknown,reproductive_state_outcome_intact,reproductive_state_outcome_sterile,reproductive_state_outcome_unknown
10,A191351,domestic longhair mix,11,black/white,16.0,3.897222222222222,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
11,A197810,american shorthair mix,12,brown tabby/white,14.0,14.120138888888889,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
16,A214991,domestic shorthair,12,black,19.0,0.0673611111111111,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
26,A234161,domestic shorthair mix,12,black/white,12.0,0.2006944444444444,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
29,A243903,domestic shorthair,12,black/black,13.0,4.804861111111111,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
35,A251268,domestic shorthair mix,1,black,17.0,2.042361111111111,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
40,A258441,domestic shorthair mix,11,gray tabby/white,14.0,0.0881944444444444,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
41,A260631,domestic longhair mix,10,black/white,14.0,3.814583333333333,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
44,A261770,domestic shorthair mix,11,white,20.0,0.0909722222222222,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
49,A276644,domestic shorthair mix,12,tortie,14.0,5.841666666666668,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
51,A279045,domestic shorthair mix,2,white/gray tabby,14.0,10.78125,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
54,A282897,domestic shorthair mix,7,black smoke/white,13.0,5.071527777777778,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
55,A282897,domestic shorthair mix,11,black smoke/white,12.0,37.138888888888886,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
61,A287217,domestic shorthair mix,10,black,12.0,0.2298611111111111,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
62,A290917,domestic longhair mix,6,orange tabby/white,11.0,10.938194444444443,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
64,A292482,domestic shorthair mix,7,black/white,12.0,1.9333333333333331,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
65,A293138,domestic shorthair,4,blue cream/tortie,15.0,5.815277777777778,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
66,A293383,siamese,3,lynx point,15.0,0.8104166666666667,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
70,A295822,domestic longhair mix,11,black,12.0,174.18958333333336,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
74,A301824,domestic shorthair,8,calico,13.0,51.17916666666667,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
77,A304036,domestic shorthair mix,4,brown tabby/white,13.0,0.2291666666666666,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
78,A304036,domestic shorthair mix,6,brown tabby/white,13.0,8.065972222222221,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
86,A307592,domestic longhair mix,5,orange tabby/white,12.0,21.16180555555556,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
92,A310938,domestic shorthair,4,gray/white,12.0,0.8916666666666667,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
94,A312005,siamese mix,9,lilac point,13.0,30.13958333333333,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
97,A318574,domestic shorthair,4,brown tabby,13.0,25.775694444444444,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
98,A318574,domestic shorthair,6,brown tabby,12.0,48.09791666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
101,A321341,domestic shorthair mix,2,tortie,10.0,57.15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
102,A321820,domestic longhair mix,2,black/white,16.0,0.8763888888888889,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
105,A323090,domestic shorthair mix,5,brown tabby,12.0,0.7416666666666667,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
108,A326898,domestic shorthair mix,5,blue/white,14.0,1.054861111111111,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
136,A341599,domestic shorthair mix,1,black,9.0,8.98611111111111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
143,A346599,domestic shorthair mix,11,black,11.0,3.9298611111111112,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
144,A346599,domestic shorthair mix,5,black,10.0,1.9388888888888889,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
149,A348400,scottish fold mix,7,black/white,14.0,3.9583333333333335,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
154,A349990,domestic shorthair mix,1,calico,13.0,10.99513888888889,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
155,A349996,domestic shorthair mix,1,white,13.0,10.989583333333334,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
156,A350276,abyssinian mix,8,brown tabby/agouti,13.0,168.16736111111112,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
157,A350375,siamese mix,3,blue point,14.0,78.05277777777778,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
159,A352713,domestic shorthair mix,4,silver tabby,13.0,11.830555555555556,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
162,A354540,domestic shorthair mix,12,black/white,10.0,42.01319444444445,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
163,A354597,maine coon mix,5,brown tabby,9.0,32.00972222222222,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
192,A370507,domestic shorthair mix,10,blue/white,10.0,291.7784722222222,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
194,A371000,domestic shorthair mix,7,blue/white,10.0,64.84166666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
198,A373219,domestic shorthair mix,7,brown tabby,5.0,7.189583333333333,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
219,A383036,domestic shorthair mix,5,black,14.0,30.047916666666666,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
221,A384360,siamese,7,seal point,9.0,12.69375,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
222,A384568,domestic shorthair mix,12,white,9.0,14.936111111111112,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
225,A386276,domestic shorthair mix,12,flame point,10.0,9.147222222222222,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
253,A410668,domestic shorthair mix,11,black,12.0,205.92013888888889,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
254,A410684,domestic shorthair mix,6,calico,9.0,6.225694444444445,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
268,A417545,domestic shorthair mix,10,black/white,11.0,137.7875,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
270,A417642,domestic shorthair mix,10,black,12.0,4.166666666666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
273,A417832,domestic shorthair mix,1,black,11.0,98.025,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
276,A419161,american shorthair mix,6,white,17.0,0.1416666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
279,A420143,domestic shorthair mix,4,black,10.0,7.9625,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
291,A427442,domestic shorthair,8,tortie/blue cream,10.0,15.316666666666666,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
309,A432197,domestic shorthair mix,10,orange tabby/white,7.0,70.29513888888889,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
313,A434523,siamese mix,11,lilac point,11.0,4.945138888888889,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
321,A439702,siamese mix,4,lynx point,8.0,44.03541666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
333,A444115,domestic longhair mix,3,black,9.0,5.984722222222223,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
347,A449270,domestic shorthair mix,2,tortie,8.0,1.0680555555555555,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
348,A449703,siamese mix,2,seal point,8.0,1.0673611111111112,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
350,A449967,siamese mix,1,chocolate point,8.0,5.105555555555555,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
351,A449968,domestic shorthair mix,10,brown tabby,10.0,49.91111111111111,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
352,A449968,domestic shorthair mix,1,brown tabby,8.0,8.034722222222221,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
365,A453136,domestic longhair mix,3,black tabby,8.0,15.123611111111112,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
388,A459845,snowshoe/ragdoll,5,seal point/white,7.0,0.0770833333333333,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
390,A459869,domestic shorthair mix,4,black,10.0,33.797916666666666,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
399,A461358,siamese mix,1,seal point,10.0,0.0430555555555555,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
417,A464496,domestic shorthair mix,7,blue/white,12.0,35.31388888888889,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
423,A465830,domestic shorthair mix,4,black/white,7.0,4.877777777777778,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
429,A466709,american shorthair mix,3,blue/white,8.0,6.789583333333334,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
431,A466858,siamese mix,10,lynx point,8.0,0.0229166666666666,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
433,A467213,domestic shorthair mix,4,black,8.0,0.2013888888888889,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
448,A471018,domestic shorthair mix,7,blue,10.0,7.989583333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
