,intake_number,time_in_shelter_days,is_sterilized,is_sterilized_in_shelter,hair_length,condition_Aged,condition_Feral,condition_Injured,condition_Normal,condition_Nursing,condition_Other,condition_Pregnant,condition_Sick,in_type_Euthanasia Request,in_type_Owner Surrender,in_type_Public Assist,in_type_Stray,sex_male,colour_Black,colour_Blue,colour_Brown,colour_Calico,colour_Chocolate,colour_Orange,colour_Torbie,colour_White,pattern_Multicolor,pattern_Plain,pattern_Point,pattern_Tabby,age_upon_intake_days,in_month_1,in_month_2,in_month_3,in_month_4,in_month_5,in_month_6,in_month_7,in_month_8,in_month_9,in_month_10,in_month_11,in_month_12,age_group_0-1 months,age_group_1-2 years,age_group_10+ years,age_group_2-5 months,age_group_3-5 years,age_group_6-10 years,age_group_6-11 months
0,0.0,5.071527777777779,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.9999999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0.3333333333333333,37.138888888888886,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.9999999999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0.0,174.18958333333336,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.9999999999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,0.3333333333333333,8.065972222222221,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.9999999999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0.0,21.16180555555556,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.9999999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0.0,30.13958333333333,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.9999999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,0.3333333333333333,48.09791666666667,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.9999999999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,0.0,57.15,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.9999999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,0.0,3.9583333333333335,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9999999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
9,0.0,168.16736111111112,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.9999999999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
